"Measure","Ethnicity","Ethnicity_type","Time","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at September 2017","All","All","All","All","107531","1150296","9.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at September 2017","All","All","All","All","65956","1150296","5.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at September 2017","All","All","All","All","6303","1150296","0.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at September 2017","All","All","All","All","18614","1150296","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at September 2017","All","All","All","All","928146","1150296","80.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at September 2017","All","All","All","All","23746","1150296","2.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at September 2017","All","All","All","All","53251","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at September 2017","All","All","All","All","1150296","1150296","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at September 2017","Medical","All","All","All","30398","106677","28.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at September 2017","Medical","All","All","All","4256","106677","4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at September 2017","Medical","All","All","All","2684","106677","2.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at September 2017","Medical","All","All","All","3271","106677","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at September 2017","Medical","All","All","All","61809","106677","57.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at September 2017","Medical","All","All","All","4259","106677","4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at September 2017","Medical","All","All","All","9750","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at September 2017","Medical","All","All","All","106677","106677","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at September 2017","Non-medical","All","All","All","77133","1043619","7.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at September 2017","Non-medical","All","All","All","61700","1043619","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at September 2017","Non-medical","All","All","All","3619","1043619","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at September 2017","Non-medical","All","All","All","15343","1043619","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at September 2017","Non-medical","All","All","All","866337","1043619","83","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at September 2017","Non-medical","All","All","All","19487","1043619","1.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at September 2017","Non-medical","All","All","All","43501","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at September 2017","Non-medical","All","All","All","1043619","1043619","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at September 2017","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","79","1900","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at September 2017","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","19","1900","1","%"
